Device_Name,Model_Number,Manufacturer,Indications_for_Use,Contraindications
CT Scanner,CT-01151,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01152,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01153,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01154,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01155,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01156,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01157,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01158,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01159,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01160,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01161,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01162,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01163,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01164,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01165,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01166,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01167,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01168,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01169,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01170,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01171,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01172,PulmoTech Inc,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01173,NeuroCare Devices,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01174,SurgicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01175,DiagnosticPlus,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01176,VitalSigns Corp,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01177,ImplantTech Ltd,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01178,CriticalCare Systems,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01179,PrecisionMed Inc,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01180,MedTech Solutions,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01181,BioDevice Corp,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01182,ClinicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01183,HeartCare Systems,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01184,PulmoTech Inc,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01185,NeuroCare Devices,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01186,SurgicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01187,DiagnosticPlus,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01188,VitalSigns Corp,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01189,ImplantTech Ltd,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01190,CriticalCare Systems,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01191,PrecisionMed Inc,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01192,MedTech Solutions,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01193,BioDevice Corp,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01194,ClinicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01195,HeartCare Systems,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01196,PulmoTech Inc,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01197,NeuroCare Devices,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01198,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01199,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01200,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01201,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01202,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01203,PrecisionMed Inc,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01204,MedTech Solutions,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01205,BioDevice Corp,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01206,ClinicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01207,HeartCare Systems,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01208,PulmoTech Inc,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01209,NeuroCare Devices,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01210,SurgicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01211,DiagnosticPlus,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01212,VitalSigns Corp,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01213,ImplantTech Ltd,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01214,CriticalCare Systems,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01215,PrecisionMed Inc,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01216,MedTech Solutions,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01217,BioDevice Corp,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01218,ClinicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01219,HeartCare Systems,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01220,PulmoTech Inc,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01221,NeuroCare Devices,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01222,SurgicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01223,DiagnosticPlus,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01224,VitalSigns Corp,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01225,ImplantTech Ltd,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01226,CriticalCare Systems,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01227,PrecisionMed Inc,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01228,MedTech Solutions,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01229,BioDevice Corp,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01230,ClinicalPro Ltd,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01231,HeartCare Systems,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01232,PulmoTech Inc,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01233,NeuroCare Devices,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01234,SurgicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01235,DiagnosticPlus,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01236,VitalSigns Corp,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01237,ImplantTech Ltd,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01238,CriticalCare Systems,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01239,PrecisionMed Inc,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01240,MedTech Solutions,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01241,BioDevice Corp,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01242,ClinicalPro Ltd,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
Haemodialysis Machine,HD-01243,HeartCare Systems,"Indicated for patients with end-stage renal disease, acute kidney injury requiring renal replacement therapy, or severe electrolyte imbalances.",Contraindicated in haemodynamically unstable patients unable to tolerate extracorporeal circulation; relative contraindication in active haemorrhage.
Infusion Pump,IP-01244,PulmoTech Inc,"Indicated for controlled delivery of intravenous fluids, chemotherapy, antibiotics, analgesics, and other medications requiring precise dosing.",Contraindicated for medications incompatible with the pump tubing material; do not use without appropriate clinical supervision.
Mechanical Ventilator,MV-01245,NeuroCare Devices,"Indicated for respiratory failure, post-operative ventilatory support, neuromuscular disease, and patients unable to maintain adequate spontaneous ventilation.",Contraindicated in patients with untreated tension pneumothorax; use with caution in severe bullous emphysema.
Automated External Defibrillator,AED-01246,SurgicalPro Ltd,Indicated for use in cardiac arrest with shockable rhythms including ventricular fibrillation and pulseless ventricular tachycardia.,Do not use on patients with a detectable pulse. Avoid placement over implanted devices or transdermal medication patches.
Blood Glucose Monitor,BGM-01247,DiagnosticPlus,Indicated for self-monitoring of blood glucose in patients with diabetes mellitus type 1 and type 2 requiring glycaemic management.,Not intended for use in critically ill patients where laboratory measurements are required. Haematocrit extremes may affect accuracy.
Pulse Oximeter,PO-01248,VitalSigns Corp,Indicated for continuous or spot-check monitoring of peripheral oxygen saturation and pulse rate in clinical and home settings.,"May be inaccurate in patients with poor peripheral perfusion, carbon monoxide poisoning, severe anaemia, or darkly pigmented skin."
Electrocardiograph,ECG-01249,ImplantTech Ltd,"Indicated for recording cardiac electrical activity to diagnose arrhythmias, myocardial infarction, conduction abnormalities, and electrolyte disturbances.",No absolute contraindications. Avoid electrode placement over broken skin or wounds. Results may be affected by motion artefact.
Ultrasound Scanner,US-01250,CriticalCare Systems,"Indicated for diagnostic imaging of abdominal organs, cardiac structures, vascular anatomy, obstetric assessment, and guided interventional procedures.",No ionising radiation; generally safe in pregnancy. Avoid direct coupling gel contact with open wounds without appropriate barrier.
CT Scanner,CT-01251,PrecisionMed Inc,"Indicated for detailed cross-sectional imaging of the brain, chest, abdomen, pelvis, and musculoskeletal system for diagnosis and treatment planning.",Contraindicated in pregnancy unless benefits outweigh risks. Contrast agents contraindicated in severe renal impairment or contrast allergy without premedication.
MRI Scanner,MRI-01252,MedTech Solutions,"Indicated for soft tissue characterisation, neurological imaging, cardiac assessment, and musculoskeletal evaluation without ionising radiation.","Contraindicated in patients with ferromagnetic implants, certain pacemakers, cochlear implants, or claustrophobia without sedation."
Nebuliser,NEB-01253,BioDevice Corp,"Indicated for delivery of aerosolised medications including bronchodilators, corticosteroids, and mucolytics to patients with respiratory conditions.",Ensure medication compatibility with nebuliser components. Not recommended as sole treatment in severe acute asthma without concurrent therapy.
Syringe Driver,SD-01254,ClinicalPro Ltd,"Indicated for continuous subcutaneous infusion of medications including analgesics, antiemetics, and sedatives in palliative and acute care settings.",Contraindicated for medications with known incompatibilities in the same syringe. Regular site inspection required to prevent subcutaneous reactions.
Defibrillator Monitor,DM-01255,HeartCare Systems,"Indicated for cardiac rhythm monitoring and emergency defibrillation in intensive care units, emergency departments, and during transport.",Ensure gel pads are not placed over implanted devices. Do not use in flammable anaesthetic environments.
Insulin Pump,INS-01256,PulmoTech Inc,Indicated for continuous subcutaneous insulin infusion in patients with type 1 diabetes or type 2 diabetes requiring intensive insulin therapy.,Contraindicated in patients unable or unwilling to perform frequent blood glucose monitoring. Risk of diabetic ketoacidosis with pump failure.
Endoscope,ENDO-01257,NeuroCare Devices,"Indicated for diagnostic and therapeutic gastrointestinal procedures including colonoscopy, gastroscopy, and ERCP.","Contraindicated in suspected bowel perforation, patient refusal, or haemodynamic instability precluding safe sedation."
Surgical Robot,SR-01258,SurgicalPro Ltd,"Indicated for minimally invasive surgical procedures including prostatectomy, hysterectomy, and bariatric surgery requiring precision manipulation.",Contraindicated in patients unable to tolerate general anaesthesia or Trendelenburg positioning. Operator training mandatory.
Phototherapy Unit,PT-01259,DiagnosticPlus,"Indicated for treatment of neonatal jaundice, psoriasis, atopic eczema, and other photosensitive dermatological conditions.","Contraindicated in patients with porphyria, lupus, or those taking photosensitising medications without medical supervision."
Implantable Cardioverter Defibrillator,ICD-01260,VitalSigns Corp,"Indicated for patients with ventricular tachycardia or fibrillation, survivors of sudden cardiac arrest, or those at high risk of life-threatening arrhythmias.","Contraindicated in patients with reversible causes of arrhythmia, active systemic infection, or life expectancy less than one year."
Pacemaker,PM-01261,ImplantTech Ltd,"Indicated for symptomatic bradycardia, complete heart block, sick sinus syndrome, and other conditions requiring sustained cardiac pacing.",Contraindicated in patients with demand-type devices exposed to strong electromagnetic fields without shielding; not recommended in active sepsis.
Continuous Positive Airway Pressure Device,CPAP-01262,CriticalCare Systems,"Indicated for obstructive sleep apnoea, central sleep apnoea, and respiratory insufficiency requiring non-invasive ventilatory support.","Contraindicated in patients with cerebrospinal fluid leaks, recent facial or skull surgery, or severe bullous lung disease."
